,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,0,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,24,25,25,23,25,25,24,25,25,25,26,24,26,23,24,25,25,26,25,25,26,25,25,22,9,25,74,76,73,71,72,74,75,73,74,71,77,74,74,73,74,75,75,76,74,76,73,73,73,74,75,74,75,72,74,73,74,74,76,74,73,74,74,74,74,78,78,87,79,86,77,76,84,75,80,85,86,87,76,74,84,77,72,76,88,86,78,74,84,78,77,76,84,77,79,85,87,78,76,86,87,76,74,79
1,1,0,2,3,3,3,2,2,2,3,2,3,3,2,2,2,25,26,26,24,26,26,25,26,26,26,27,25,27,24,25,26,26,27,26,26,27,26,26,23,10,26,75,77,74,72,73,75,76,74,75,72,78,75,75,74,75,76,76,77,75,77,74,74,74,75,76,75,76,73,75,74,75,75,77,75,74,75,75,75,75,79,79,88,80,87,78,77,85,76,81,86,87,88,77,75,85,78,73,77,89,87,79,75,85,79,78,77,85,78,80,86,88,79,77,87,88,77,75,80
2,1,2,0,3,3,3,2,2,2,3,2,3,3,2,2,2,25,26,26,24,26,26,25,26,26,26,27,25,27,24,25,26,26,27,26,26,27,26,26,23,10,26,75,77,74,72,73,75,76,74,75,72,78,75,75,74,75,76,76,77,75,77,74,74,74,75,76,75,76,73,75,74,75,75,77,75,74,75,75,75,75,79,79,88,80,87,78,77,85,76,81,86,87,88,77,75,85,78,73,77,89,87,79,75,85,79,78,77,85,78,80,86,88,79,77,87,88,77,75,80
3,2,3,3,0,4,4,3,3,3,4,3,4,4,3,3,3,26,27,27,25,27,27,26,27,27,27,28,26,28,25,26,27,27,28,27,27,28,27,27,24,11,27,76,78,75,73,74,76,77,75,76,73,79,76,76,75,76,77,77,78,76,78,75,75,75,76,77,76,77,74,76,75,76,76,78,76,75,76,76,76,76,80,80,89,81,88,79,78,86,77,82,87,88,89,78,76,86,79,74,78,90,88,80,76,86,80,79,78,86,79,81,87,89,80,78,88,89,78,76,81
4,2,3,3,4,0,4,3,3,3,4,3,4,4,3,3,3,26,27,27,25,27,27,26,27,27,27,28,26,28,25,26,27,27,28,27,27,28,25,27,24,11,27,76,78,75,73,74,76,77,75,76,73,79,76,76,75,76,77,77,78,76,78,75,75,75,76,77,76,77,74,76,75,76,76,78,76,75,76,76,76,76,80,80,89,81,88,79,78,86,77,82,87,88,89,78,76,86,79,74,78,90,88,80,76,86,80,79,78,86,79,81,87,89,80,78,88,89,78,76,81
5,2,3,3,4,4,0,3,3,3,4,3,4,4,3,3,3,26,27,27,25,27,27,26,27,27,27,28,26,28,25,26,27,27,28,27,27,28,27,27,24,11,27,74,76,73,71,72,74,75,73,74,71,77,74,74,73,74,75,75,76,74,76,73,73,73,74,75,74,75,72,74,73,74,74,76,74,73,74,74,74,74,78,78,87,79,85,77,76,84,75,80,85,85,86,76,74,84,77,72,76,87,86,78,74,84,78,77,76,84,77,79,85,86,78,76,85,86,76,74,79
6,1,2,2,3,3,3,0,2,2,3,2,3,3,2,2,2,25,26,26,24,26,26,25,26,26,26,27,25,27,24,25,26,26,27,26,26,27,26,26,23,10,26,75,77,74,72,73,75,76,74,75,72,78,75,75,74,75,76,76,77,75,77,74,74,74,75,76,75,76,73,75,74,75,75,77,75,74,75,75,75,75,79,79,88,80,87,78,77,85,76,81,86,87,88,77,75,85,78,73,77,89,87,79,75,85,79,78,77,85,78,80,86,88,79,77,87,88,77,75,80
7,1,2,2,3,3,3,2,0,2,1,2,3,3,2,2,2,24,25,25,23,25,25,24,25,25,25,26,24,26,23,24,25,25,26,25,25,26,25,25,22,10,25,75,75,74,72,73,75,76,74,75,72,76,75,75,74,75,76,76,77,73,77,74,74,74,75,76,75,76,73,75,74,75,75,77,75,74,75,75,75,75,78,78,87,79,86,77,76,84,75,80,85,86,87,76,74,84,77,72,76,88,86,78,74,84,78,77,76,84,77,79,85,87,78,76,86,87,76,74,79
8,1,2,2,3,3,3,2,2,0,3,2,3,3,2,2,2,25,25,26,24,26,26,25,26,26,26,27,25,27,24,25,26,26,27,26,26,27,26,26,23,10,26,75,77,74,72,73,75,76,74,75,72,78,75,75,74,75,76,76,77,75,77,74,74,74,75,76,75,76,73,75,74,75,75,77,75,74,75,75,75,75,79,79,88,80,87,78,77,85,76,81,86,87,88,77,75,85,78,73,77,89,87,79,75,85,79,78,77,85,78,80,86,88,79,77,87,88,77,75,80
9,2,3,3,4,4,4,3,1,3,0,3,4,4,3,3,3,23,24,24,22,24,24,23,24,24,24,25,23,25,22,23,24,24,25,24,24,25,24,24,21,10,24,74,76,75,73,74,76,75,75,76,73,77,76,76,73,76,75,75,76,74,76,73,73,73,74,75,74,75,72,74,75,74,74,76,74,75,74,74,74,74,79,79,88,80,85,78,77,85,76,81,86,85,86,77,75,85,78,73,77,87,87,79,75,85,79,78,77,85,78,80,86,86,79,77,85,86,77,75,80
